	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
23	TCGA-A2-A04N-01A	-0.07601726	-0.18082064	0.48082703	-1.6251537	0.29839087	0.49858636	-0.07829332	-0.9643666	-0.6641694	1.3671709	1.858026	0.664731	0.74333	0.07500522	0.3060129	0.36550418	-0.7192389	1.3987479	1.475913	-0.28666818	0.62638295	0.8644073	1.4164523	0.5124885	0.88978416	-0.3390003	0.78723866	0.29641807	1.2695355	-1.2226684	-0.05822362	0.7772468	0.80145264	-0.42038476	0.18002227	0.13756755	1.7442137	2.174935	1.5279827	-0.70209944	-0.55760777	-0.25595525	-0.6027184	0.20486909	1.625298	-0.69509387	1.4411848	0.27970353	-1.0296817	0.19941403	0
24	TCGA-A2-A04P-01A	-0.24573857	-0.27113512	0.75025475	-1.1189831	0.1694019	-0.3432728	-0.67824185	0.7256202	-0.39779997	0.56528413	1.6112769	0.9302791	-0.008550435	0.07713927	-1.146496	0.13976645	-0.070035525	-0.5577167	0.7087653	0.41212082	0.37804756	-1.3062116	0.75844353	1.1122991	0.031828575	-0.018875971	0.105111115	-0.43346533	-0.49646577	-0.62056696	0.5960902	-0.4815119	-0.238386	-0.007323079	0.6198985	0.44995546	0.6980931	1.0346215	-0.94614667	0.2614063	-0.44073683	0.68185025	0.11687679	-0.80186635	0.27540952	0.8467719	0.24199131	1.024867	-0.513229	-0.22002703	1
25	TCGA-A2-A04Q-01A	0.6336827	0.13804625	1.3437668	-0.6198655	0.6034921	0.49876314	0.23953222	1.1518494	0.65669054	-0.376694	-0.06704347	0.027715065	0.27043867	-0.8350079	1.109787	0.93252844	-0.4586957	0.0915881	-1.0426289	-0.1649771	-0.8550492	-0.5870773	0.037232578	-0.24866584	-1.1182979	-0.59863317	-0.28051862	-0.24469969	-0.55014193	-0.53595996	-0.20369771	-1.0477964	-0.32864392	0.8568971	2.1814742	-1.0142914	-0.4169194	1.387003	-0.42153206	-0.39771077	-0.78820455	-0.119889855	-0.48772132	0.43828493	-1.864331	-0.46207744	-0.57369196	-0.12931731	0.026974428	0.026471559	0
26	TCGA-A2-A04R-01A	0.22849867	0.57127327	-0.36072135	-0.30658343	0.31219774	-0.24633813	-0.50006294	-1.2962681	-1.3360586	1.4847721	1.3252102	1.6421807	-0.7160474	-1.3561803	-2.364355	-0.87122416	-0.70733255	0.52238613	-0.82462084	-0.30542403	0.21096635	1.0465432	-0.20340039	-1.8020227	-0.12861116	1.0712541	0.861009	-0.6298123	-0.2485811	-1.1737293	0.9174011	-0.2834845	0.3441087	-0.29983616	0.83643633	0.7063789	1.1632311	0.083868265	0.10117149	-0.17670855	0.42184684	0.3427681	0.11888425	0.61033046	0.15826108	-0.43004322	-0.040172607	0.0055528283	-0.25039282	-1.3389202	0
27	TCGA-A2-A04T-01A	0.7250768	-0.8893433	-0.2686164	-1.0597017	0.7295184	-0.368547	-1.8400335	1.858834	-0.09185207	-0.07991667	-1.9117965	1.6590512	0.11148167	-0.03964798	-0.8946708	1.0126711	-0.48686218	-0.28405872	-0.59259593	1.1125957	-0.19138789	-2.7496607	-0.35782874	0.11953328	-0.60384446	0.15778954	-0.44765723	-0.74336267	-2.131461	-1.2888069	1.1973437	-1.0039035	-0.8125076	1.3355423	-0.4843262	-0.4098971	0.5378971	0.1578623	-1.7017423	0.21874097	-0.48012897	2.709407	1.6346344	-0.053613067	0.8927636	0.48490024	0.6642077	0.7852282	-0.28313667	-0.46586666	0
28	TCGA-A2-A04U-01A	2.2846513	-0.39197308	-1.0714519	-2.5786061	0.12639037	0.065386705	0.17298709	-0.8871434	-0.6141318	0.37103045	1.2070954	-0.20732258	1.0513893	-0.33613425	-2.8346446	0.6755812	-0.62030375	-0.34048223	-0.97333163	-0.026653398	0.2142845	0.30689153	0.9423042	0.9259772	-0.1083162	-0.28216672	-1.0712978	-1.1346182	-2.559555	-2.261606	0.82546693	1.6927131	1.0735345	1.6072234	0.61259526	-0.8181827	-1.6936946	0.120845385	-4.2460127	-0.26543766	-0.27374893	2.3713982	-0.2220314	0.41461435	-0.056138642	0.467604	0.84505016	1.1581657	0.7178814	-2.2310717	0
34	TCGA-A2-A0CL-01A	-0.5874968	0.76145947	1.1518264	-0.8432498	-0.48459744	1.7108381	-0.19700742	0.38469157	-0.5468921	-0.8516835	1.2576804	-0.7660584	-0.15555501	-1.4384928	2.243373	1.6184367	-1.4437389	1.3737844	1.297834	-1.1829952	-1.3518286	0.13506518	-1.3543589	-0.012822981	-0.63285124	-0.2902678	0.45655644	0.84371126	-1.6260529	-1.0940745	-0.16652781	-1.9698786	-0.07411957	1.5977263	-0.7579333	-1.797738	-0.29001385	-1.2186154	0.08555407	-1.1163771	0.34269828	0.6555376	0.34511867	-1.2925907	0.70766413	-0.47604963	-1.3011684	-0.9230015	-0.67261124	-0.5831488	0
35	TCGA-A2-A0CM-01A	-0.3677448	-0.64774936	0.0414813	-0.7900065	-0.35179144	0.26781136	-1.0062734	1.2631204	-0.23265517	0.60714775	1.9209819	0.94914454	0.3999754	-0.07667136	0.4387581	1.9538571	-1.4671683	0.64093834	0.016888097	-0.25032783	-1.1981832	-0.87368566	-0.36171836	-0.32717457	-1.0305189	-0.16060914	-0.29505938	0.5094683	-2.7824159	-1.035154	0.16427658	-0.5271873	0.41605034	1.6320649	0.85150373	-1.7390817	-0.74145746	0.8526176	-2.1068325	1.2368095	0.97042143	1.7184166	0.4199585	0.39392793	1.607005	1.3993403	-2.067684	-0.3585803	0.83896744	-1.2251981	1
41	TCGA-A2-A0CT-01A	0.73655397	1.824996	0.573628	0.1389302	1.4808702	-0.2655724	0.08824266	-0.75960827	-0.145051	0.2423121	0.07742666	0.34256163	0.20032817	-0.7624693	-2.4564528	-3.0060585	0.6999527	-0.8011545	-0.49085665	0.33447725	0.10235245	1.8017298	0.09246558	-0.7547631	-2.326414	0.2818079	0.5110082	-2.670644	1.0347148	-0.17745693	1.5925515	1.1107817	-1.1703758	-0.46262562	-0.2029464	2.667512	0.5837443	1.255511	1.5695393	-0.2664103	0.4666116	-0.79672706	-0.90575576	1.5369917	-0.5014944	0.29228592	0.6266419	-0.26195145	0.18985784	-0.54931396	0
43	TCGA-A2-A0CV-01A	-0.16416107	-0.5677861	-0.093925945	-1.1797881	0.119431436	-0.41128102	-0.3129151	-1.4139247	-0.841048	0.39229932	0.7458057	0.034430474	0.69471264	0.4900475	1.7806284	-0.35393596	0.83518934	-0.052926064	-0.718742	0.13071662	-0.04131055	0.018125065	-0.1418179	-0.31719595	0.018488593	0.21202418	0.3716881	-0.5946997	1.2942853	1.26933	-0.50557584	-1.1964958	-0.30161864	-1.3545334	-0.56031907	1.443282	1.6136968	-0.74890363	1.4670968	-2.3442783	-0.4984911	0.12741002	0.037890717	-0.71860677	0.48422745	1.1711234	-0.19899592	0.58269775	0.7605356	1.7214367	0
