	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
802	TCGA-C8-A1HO-01A	0.36576512	-0.26068705	-1.255083	0.19447996	0.09837276	0.850661	-0.96643555	-0.44383597	1.494935	-0.6899443	-1.0327308	0.51341194	0.5168091	-1.3023727	0.07203461	1.0542853	0.027295612	0.34830976	-0.25087976	-0.4999256	-0.24437603	0.025392348	-0.8370514	0.9619196	0.07326727	0.8171433	-0.48095065	0.4479918	-0.063330546	0.942984	-0.5547525	0.19642003	-1.1071692	-1.1597105	-2.332138	-0.7302684	0.22396299	0.5615077	-2.0097883	-0.7431465	-0.22986929	0.55398136	-0.17638172	0.7106625	1.0923411	-0.28394872	0.46650532	-0.9338863	-0.035000466	-0.083155304	0
804	TCGA-C8-A26W-01A	0.072796635	1.3153237	0.9633172	0.55575806	0.25586814	-0.13360795	-1.4359176	-0.51091063	-0.2138938	-0.34078532	0.68785566	-0.14199638	0.5873336	1.507544	-0.72491443	0.81246185	-0.030564815	1.252598	-7.2956085e-05	0.51712006	0.50684774	0.039041825	0.873655	1.374512	0.25501603	-0.44428265	0.3669031	0.27083808	-0.37123948	-1.1429474	-0.37476236	-0.877313	0.15913948	-0.30376145	1.8994665	-1.1359311	-0.21779776	0.10303485	-1.3469409	0.08197001	0.0694087	0.9804827	-1.9809232	-0.7914295	0.10334647	0.50139546	-1.2562364	0.31082085	0.47982422	0.25419557	0
805	TCGA-C8-A26X-01A	-0.49879375	-1.1879683	0.2584708	-0.54629004	0.13248283	1.5997522	-0.35610285	-1.8508484	0.7525524	-0.60773635	-1.3963208	0.42058355	-0.7520656	2.9629343	0.31518742	-1.261951	-3.9021337	-1.8658804	1.1170112	1.1137991	0.6649914	-0.7668997	0.93214583	1.4986265	0.40284514	-0.059301242	1.2016951	-0.42055	-1.5480046	-0.40480357	0.637609	0.7296937	-1.0256441	1.7017092	1.4127946	-0.11106028	0.7448318	-0.86792636	3.704719	1.5994327	0.2853246	-0.63454473	-1.2394822	-0.27441373	0.16301866	2.5476708	-5.2347393	0.7367038	-0.61385137	-1.6208727	0
812	TCGA-C8-A27A-01A	1.3129957	-0.37648714	0.12427235	-0.75303614	0.036805898	-0.19468021	-0.8353455	1.011409	0.36129025	0.158708	-1.3248677	1.4954774	-0.00586994	-0.70697504	0.08839047	1.238239	-1.4985083	1.593809	0.3369122	0.16790095	-0.44172114	0.47756952	0.35880232	0.23068185	-0.2964409	0.5832477	-0.5042961	-0.20040977	-0.28224683	0.6498139	0.16925639	0.22135332	-0.53360224	-1.0363356	-2.5740733	-0.27371436	0.43610108	0.25597534	-1.2439103	0.28254032	0.66395646	-0.6599952	-1.1301037	0.288498	-0.5716735	0.11614947	-0.37863886	-1.624676	-0.393576	0.060702592	0
813	TCGA-C8-A27B-01A	-1.246053	-0.6865479	-1.0797294	0.36143267	0.06601969	-0.2891376	0.75750726	-1.8045881	0.33791208	0.5415878	-0.58239496	-0.5388311	0.11043952	-0.29829505	-0.81513125	-1.06664	-0.8010189	0.25147063	1.4997983	-0.66797864	-0.9227814	0.41501567	0.98713595	0.19239312	0.014003038	1.1317501	0.49090156	-0.597638	-0.6826243	-1.3515077	0.097144604	0.06067834	-0.4788198	-0.63553226	-1.4855304	-0.20140132	0.26317215	0.06575163	0.44088352	1.2356067	-1.0056949	0.6326793	-1.129326	0.26146337	1.5150636	0.06745837	-1.2075546	0.11584145	-0.17296985	0.36923462	0
816	TCGA-C8-A8HP-01A	1.1676805	0.29182023	0.65247005	-0.2936035	0.47411942	0.81228864	-0.3404036	-0.3344272	0.19888487	-0.38336414	-0.3508364	0.35918638	-0.96440935	1.2480502	1.056599	-0.09224393	-0.4262666	0.26003805	-1.2800965	0.53519416	0.72927344	-0.05784443	-0.2648516	-0.6069607	-0.4381449	-0.4777274	-0.3812883	0.49143666	-0.20474312	-0.3905601	0.22824761	-0.13883473	-0.13818872	-0.36380294	0.47261187	0.1549679	0.13752732	-0.8854251	0.5586394	0.6430092	-0.60778606	0.36226472	-0.41870004	-0.018366035	-1.6187334	-0.66262394	-0.1593859	-0.5946316	0.05376281	-0.51728135	0
818	TCGA-C8-A8HR-01A	-0.07916551	0.4041533	0.2276545	2.263246	-0.18091163	0.5573597	0.10441241	-0.14771932	0.47264105	0.04516524	0.13441318	-0.49597904	-0.5476514	1.3915485	0.88263786	0.25665003	0.6624954	0.3753038	2.1159036	-0.688715	-0.961496	0.80147487	0.23568037	1.4595586	-0.47241354	-1.5270145	-0.3148892	0.31131876	0.2837015	-0.8907487	0.17600699	0.03907109	-0.29310158	1.8644583	-0.32882273	-1.5984172	-0.0030654967	-0.38660502	-0.1967918	-0.6861114	1.4485993	0.6393269	-0.28467423	-0.0870883	-2.039272	-0.16686195	0.68207824	-0.41619635	0.6139603	-0.024646297	0
819	TCGA-D8-A13Y-01A	1.2046505	-0.41499335	0.04484871	-1.1100656	-0.42335242	0.3336077	-0.4539413	0.5374532	-0.20616606	-0.33528772	0.03460437	0.2456214	-0.22372052	-1.1253496	0.25562966	0.6584309	-0.17126429	2.063242	-1.2086966	0.59835476	-0.14893074	1.4614248	-1.0250753	0.09853104	0.18843362	0.5040735	-0.62510455	-0.48168024	-0.10004234	1.1360803	0.9596638	-0.024808213	-0.3223131	-1.7216761	-1.9314387	0.53833485	-0.7258383	0.35714722	-0.39229608	1.1309888	0.3568415	-0.7445023	-1.8313998	0.19541097	-0.5589237	-1.0132631	-0.10679236	-1.9615958	-0.995908	1.1685994	0
821	TCGA-D8-A140-01A	0.21324897	-1.057184	0.40873054	0.9637704	0.007751452	0.68595994	0.3674173	-0.39997667	-0.78397286	0.14534834	-0.64801276	0.88890713	0.6182455	-0.49682835	-0.0006214529	1.8580564	-0.49855405	1.3667797	-1.0973448	0.32828623	-0.41869897	0.8353626	0.13150162	2.6406941	0.2528711	-0.8930007	-0.85681295	-0.5338906	0.37246093	-0.34131902	1.0601505	-2.292983	-0.3832863	0.025802255	-1.3500465	1.1908607	0.6405238	-0.018918693	-3.2458007	-0.93672806	0.7974134	0.15111366	-0.19313529	0.17170596	0.1951888	0.07293461	0.7143694	-0.24870381	0.6806046	0.6612102	0
823	TCGA-D8-A142-01A	-0.17428127	-0.28973675	-0.6446742	0.024231916	-0.50617796	0.10276857	0.5422787	0.6454258	0.15465522	2.1581917	0.72745484	0.13609634	0.056201853	0.7673619	0.31343833	-0.52021277	-0.6723992	-1.4537277	0.54536605	0.4517205	1.0022357	-0.078500554	-0.8080198	0.04449363	-0.7748721	-0.17931746	0.25680038	0.48783737	-0.066535585	-0.75051	0.91347975	0.75510466	-0.18169409	-0.17186338	-0.036315463	0.24575102	1.3303366	-0.12901694	0.8663078	-0.45668855	0.63111246	1.0585289	-0.16604659	0.5489264	-0.6634762	-0.57949793	0.031308025	0.33052143	-0.7191076	-0.34117183	0
824	TCGA-D8-A143-01A	-1.2630858	-1.0553298	0.66101587	-0.41473866	-1.0409739	-0.65825695	0.27413812	-0.3518542	0.5711555	0.09843666	0.81087023	-1.1176778	0.18865824	-0.50854015	-0.41966656	-1.6550301	0.6711132	-2.4120443	0.10722948	-0.25116226	0.14062412	0.07638304	-1.8996246	0.31025133	-1.8182523	-0.29873803	0.4058422	-0.2575209	-0.35082418	0.7600166	0.82498527	2.091932	-0.4502834	-0.9037666	-0.12261975	0.17556432	0.7603553	0.4877396	0.8072643	-0.49455458	0.5307317	-0.5286329	-0.11031815	0.25959298	-0.59438205	-2.139453	1.0344808	0.03322818	-0.30491838	-0.95168376	0
827	TCGA-D8-A147-01A	-2.2816074	-1.0406715	0.15131658	-0.72895503	0.4195155	-0.26641417	-0.030280918	-0.050361425	-0.15664929	0.15389168	0.73750865	0.09683899	0.25126743	-2.1090517	0.132226	1.5310369	-1.5615885	3.739323	-0.097883105	0.09814924	-0.54166317	0.9438917	-1.1321275	-0.31451192	-0.6463615	-1.5171206	0.116910815	-0.43602127	1.2441266	0.27959108	0.9477482	0.38029736	0.632589	-2.171577	-2.4155738	-0.0047190003	-0.28685054	-0.39245254	-0.9508856	1.2913427	0.6023796	-0.27973232	-4.712479	0.47916627	-0.8943645	-0.5689022	0.0064432025	-0.52099115	0.0596243	1.7318984	0
830	TCGA-D8-A1JA-01A	-2.185233	-0.45724848	-0.13198784	-0.60648096	0.40787232	0.7379408	0.34232143	-0.49143672	0.49794272	0.087855846	-2.329014	1.1250468	0.88608587	-1.0455792	-0.49673313	-1.2223713	-3.2619767	-1.8169252	0.2650663	0.7655382	-0.8589916	0.37813008	0.38495618	-0.39387745	-0.0649984	0.9083053	0.2055943	-0.27914846	-0.26717514	-1.7960094	-0.7568447	0.7499969	1.810275	-1.5190568	-1.2552302	-0.49189395	1.7303395	-0.04630342	0.36292848	0.88868344	-0.07168201	-0.65147156	-1.4656928	0.4668364	4.0618496	3.5663922	-3.0190294	0.9307594	0.19073825	-1.2756119	1
831	TCGA-D8-A1JB-01A	-0.5353563	0.7060153	0.42689943	1.916858	0.101917624	-0.5612494	0.41107875	0.056899965	0.7172973	-0.59911346	-0.4305637	0.19067886	0.8382297	0.6776708	-0.0445994	1.3798788	-0.578493	2.6720517	0.99121946	0.34246218	0.46305498	-0.5932521	1.2414868	0.712468	0.25734204	-0.3710873	0.4276897	-0.9353586	-0.3311767	1.2759925	-1.4832426	1.3624357	-0.81023866	1.044697	-1.2358773	-0.80568373	0.642859	1.2817774	-2.3013122	-1.4794091	-0.44843704	0.22487065	-2.0080967	-0.28486264	0.44867095	1.1421092	-1.1860764	-0.010425091	-1.1945382	0.0873287	0
832	TCGA-D8-A1JC-01A	1.0949396	1.449049	-0.70955884	-0.2998046	0.31061178	-1.0421643	0.71296024	-0.44177657	-0.08727689	-0.16326495	-0.3866908	-0.07138857	-0.5918375	0.80380887	-0.8334148	1.6904558	-0.6447016	0.82385397	0.83863807	0.24661286	0.30629545	-0.042374626	0.51078707	-0.2859017	1.0760005	0.2707471	-0.15619268	0.17213756	-0.24657126	1.1191376	-0.9262929	0.68872464	0.27632853	-0.5538385	-0.3449186	1.7182028	-0.50656277	-1.1070625	-2.0914714	0.02449745	0.19788261	-0.4132777	0.23892514	-0.08196385	-0.2988153	-0.50409245	-0.7198656	-0.62209743	-0.25922388	0.5619465	0
833	TCGA-D8-A1JD-01A	-0.46705657	0.29585385	0.32862297	-1.4774146	-0.66546315	0.8928412	-0.048743203	-0.27201587	0.43048984	-1.7156317	-0.2737493	-1.215711	0.91616666	0.92258805	-0.34364974	0.32106677	-1.1734421	0.03318558	0.28954196	-0.75950843	-0.97652113	-0.10526292	-0.0731989	0.05898133	0.4855401	0.112136155	1.0751119	-1.5654831	-0.1603545	-0.020322481	0.5399021	-0.37452957	1.1862254	0.062443364	2.6546762	0.95377445	-1.3992113	0.48026085	-0.36744925	0.26214772	-0.32139176	-0.9210136	0.10433681	0.93517935	0.5020326	-0.8653942	-1.7698433	0.380452	0.076305486	0.56693053	0
834	TCGA-D8-A1JE-01A	-2.8037684	-0.19587058	-1.1155536	-0.13946109	1.2696939	0.5102938	-0.19327632	0.26003122	0.55431914	-2.0413709	-2.2099042	-0.4458062	1.1844609	-1.9620215	-0.8025684	-0.7859019	-3.6545658	-0.008492678	-0.7125854	-0.48354882	-0.74903023	-0.64714223	0.712606	1.8598514	0.04225912	2.8216214	0.7138544	-3.1037762	-1.2637691	1.0084994	0.81074077	-0.4202353	-0.5281522	0.96086824	-2.0491056	-0.46824616	0.92416155	-0.019822747	-1.1668173	0.19698453	1.2847878	-1.0336047	-0.337188	0.62763214	5.395736	3.4456768	-3.9572048	-0.12167716	0.9816562	-0.72842366	0
