	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
TCGA-AO-A1KQ-01A	1.4182451	-0.34286654	0.15116112	-0.2388647	-0.7547183	0.14742102	-0.20297775	1.4789909	0.4152777	0.54285187	0.71475565	-0.01006487	0.43473464	1.0638782	0.12973852	0.24640301	-0.17851031	1.0180043	-1.0321201	-0.83276784	-0.12578917	-0.33604017	-0.16819757	-0.23682442	0.07882403	1.3996043	-0.3927813	-0.05021192	-0.9904709	0.25710046	0.07666236	0.9287366	0.8377573	-0.29100594	-0.4020588	0.06995222	-0.18089187	-0.042913675	-0.74039686	0.14391047	1.0586346	0.63935703	-0.094554886	-0.07742031	-0.23964474	-0.20222458	-0.75648123	-1.1498405	1.5446184	0.20881368
TCGA-E2-A1LI-01A	-0.61908776	0.3516112	-0.06865135	-0.19692722	-0.8365873	-0.06808515	0.63214594	-0.69599116	-0.94870967	0.49504918	0.36043024	-0.600174	0.77205557	0.14299542	-0.62343776	-0.23429337	0.04746934	0.91819257	0.22241268	-0.29666305	0.55727756	-0.5195874	0.62401104	0.37858212	-0.47377303	0.06768457	0.10592018	-0.38638878	-0.009417914	0.179303	0.66674113	-0.14744174	0.7762169	-0.7800702	-0.6864875	0.42420617	-0.19563156	0.08507329	-0.24421902	0.160303	-0.03656614	-0.040647805	-1.1336544	-0.03210078	-0.19138743	-0.69049513	0.11427823	-0.3798535	-0.13662398	0.16394752
TCGA-BH-A18L-11A	-2.3248484	-1.5577035	0.14957973	4.542333	0.15213591	0.20342904	-0.29952887	0.61622876	-0.02805376	-1.321064	-0.6874629	0.7650673	-0.50306267	-1.5620294	0.49393475	0.08159675	-0.61016023	-3.1568663	0.393906	2.2024863	-0.20779681	0.6333603	0.48359388	0.6140306	-2.3238707	-1.509606	-0.19986501	0.7800834	-1.0496885	0.13816905	0.3395384	-0.67007095	-0.4321618	3.377641	-2.11358	0.44168523	3.0929906	0.2774646	-0.17605388	0.055662632	-0.18409348	0.79331505	-0.65242386	1.4429318	1.0190207	0.7431047	1.0091006	0.08362341	-0.126184	-1.3161819
TCGA-B6-A0WV-01A	0.57509	-1.5972086	0.013316311	0.3618914	0.7775314	1.7347847	0.36629725	0.76481026	1.4623684	-0.85689926	0.28820956	-0.4547517	0.5578575	-0.9953457	-1.173856	1.5459107	0.9132556	1.3253322	1.3096237	-0.14983255	1.5681636	0.65120065	0.09653449	-0.99860257	1.6390445	0.25892168	-0.5776759	-0.8448053	-0.117922634	-1.9478468	0.10052913	-0.83513784	-0.2972701	-0.6188944	-0.25604576	-0.40236104	-0.9576834	0.17024171	-3.8000822	-0.34338906	-1.097429	-0.479173	-0.2324224	0.12675765	1.650263	-0.80616295	0.6213548	-0.2316825	-0.47732782	0.26079354
TCGA-E2-A1LE-01A	-0.1407928	-0.013398789	0.53664255	-0.17086324	-1.1737355	-0.6026739	0.1972656	0.63254493	-0.10457365	1.7871494	-0.7391006	-0.023630708	1.352577	1.4205475	0.35175124	0.0041439766	-0.70849895	-0.8478932	-0.38828576	-0.8919929	-0.32279074	-0.05920735	0.860668	0.73479	-0.5325282	-0.6940037	0.4188102	0.2757438	0.12342435	-0.21449053	-0.9458101	-0.6066009	-0.11052661	0.72739863	1.4607248	-0.6422197	0.20131898	0.06836752	1.3651471	-0.7543082	0.7473939	0.78108954	-0.34230986	-0.29385704	-1.1373312	-0.06173221	-0.75227165	0.3170486	0.4841594	-0.21713507
TCGA-A2-A0CO-01A	-0.96719307	-0.20681912	0.3542134	2.2754757	-0.17195377	-0.6241143	0.21559489	0.7924112	1.1486951	0.074246526	-1.5744684	0.06350039	-1.3236169	1.1318498	0.44607595	0.6720195	0.072800644	-0.09861829	0.97541344	0.63009584	-0.059228167	-0.4755386	-0.5152501	0.3163634	-1.8408068	-2.1651018	0.6995529	-0.16157444	0.28477433	1.0214092	0.51465714	0.5336411	0.20143208	3.2249568	0.6374527	-0.77041626	1.2653186	0.9969776	-0.23216808	0.2346453	-0.7551012	-0.97257453	-0.39744014	0.2760336	-2.174173	0.6969184	0.9483702	-0.70465887	-0.8854948	-0.2177102
TCGA-AN-A0AK-01A	-0.070075795	0.17993999	-0.96599853	-0.161383	0.51893353	0.33181655	0.08127383	0.24737425	-1.0862472	-0.44041783	1.2517926	-0.53930813	-0.37347654	0.78899604	0.5130829	-1.0777678	0.752039	-0.28239602	0.5502266	1.3153741	0.18081611	-0.32961527	-0.4714245	0.5069696	-1.0930058	0.73823494	-1.0264865	0.07052985	-0.6142701	-0.8299407	-1.208634	0.068767354	-0.109701425	-1.8462758	-0.10140254	1.3349627	0.3539301	-0.32554024	-1.1207052	0.9451104	-1.2593769	-0.866854	-0.5067772	-0.91505504	-0.7578811	-1.6872056	-0.3114526	-1.1181965	0.032276962	0.05023317
TCGA-BH-A28Q-01A	-5.5869126	-0.68625957	-1.5918834	2.0315151	1.508112	0.15969454	0.9285278	0.38583553	1.785639	-1.7890933	-0.26006675	-0.49288893	-2.161463	-2.8611155	2.1329973	-0.341964	0.44932768	-0.4002763	-0.7752901	1.8748544	0.6173856	-1.5378478	-0.66070503	1.0254817	-0.7354379	-2.052726	1.898042	-1.3350126	1.2710905	-0.7073022	2.0506346	-0.036049873	0.030993529	3.4183066	2.1009881	1.6867487	0.9159356	2.172926	-1.815477	-0.9978958	-2.1959453	0.8658241	-3.2807524	0.8020654	3.5880787	1.8530282	0.386711	4.672433	0.59903777	-0.14563733
TCGA-3C-AALJ-01A	1.1918521	-0.58875346	-0.2094494	-0.043551426	0.054231502	0.25525787	-0.33566752	-0.2925013	0.6444885	-0.42183864	0.06815939	0.4307306	0.32936543	0.6894046	-0.509049	0.4634488	-0.1276438	-0.28252622	0.47749817	0.15931895	-0.45726717	-0.043388195	-0.15067804	0.12222805	-0.15976822	-0.2513377	-0.4672206	0.78334296	-0.097671166	-0.25961128	-0.048292145	-0.06856778	-0.9379573	-0.3839543	-0.10497256	1.134725	0.83360124	-0.255396	-0.070222214	0.5883736	0.35435802	-0.011426412	-0.077474445	0.29979616	-1.4936814	-0.50161266	0.57417285	-0.19997656	-1.2907845	-0.48945212
TCGA-BH-A0BM-01A	-0.43376964	1.2217063	-0.58722585	2.3069983	-0.66811216	-0.851855	0.034773648	-0.62740034	1.330785	0.001124829	0.17831856	0.46367252	1.0723947	-0.29768926	-0.20792498	-0.8433564	-0.1733827	-1.420058	0.32062513	-1.6111023	1.1345835	0.111720994	0.10300201	0.88965154	-0.21841466	0.07305489	0.14002608	0.7480433	-1.0611436	-0.90617955	0.6086167	0.049769577	-0.50928104	1.0001254	-0.008632744	0.69297624	0.6604816	0.2554248	-0.023765948	0.6441946	0.5419773	0.033038735	-1.2547575	-0.12996824	1.9929996	2.0460572	-0.37073818	1.7443494	0.003014788	-0.16959605
