	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
584	TCGA-BH-A0BS-11A	0.69613886	-0.39602202	0.19910447	-0.9769999	-1.8961593	-1.2401512	2.3923378	-1.5448536	-3.7247996	-1.5070397	2.1735635	-0.23082033	0.11227548	-0.53407735	-0.56712186	0.039342046	-2.8061724	-0.72200924	0.8286654	1.3730143	0.21939209	5.1868258	-1.112406	-3.183711	-2.5549188	-1.1835326	-0.9794452	1.663834	-2.7863047	0.7113703	-1.3002384	-0.66011107	0.6826557	0.77415085	0.6114975	-1.4413184	-1.1227275	1.3731524	-4.0012207	-1.1572423	-0.32706204	1.494003	0.8245785	-0.84383273	4.645826	-0.48564357	1.0953282	-1.6887009	0.25766128	2.5256855	0
585	TCGA-BH-A0BT-01A	-0.7655396	-0.45078897	0.55114466	1.9042052	-1.2792023	0.87743765	0.2608512	0.76294893	-0.05902563	-0.17416343	2.6539862	-0.40971985	-0.85152584	-1.6057535	-0.98742294	-0.15291646	0.58280116	-1.0824484	-0.14774655	-0.47518227	0.4583667	-1.8913745	-1.049188	0.3227775	-0.68375695	0.27840197	0.49425915	0.8222121	-0.7157843	-1.3316646	0.6422267	0.38283104	0.62015027	-0.516527	1.6068908	0.10863519	-0.24360567	-0.25807852	0.16249219	0.9058277	0.98270005	0.3234658	-0.00046301633	0.5767066	0.82093275	0.7990711	-1.0809991	0.08841058	1.3847089	0.24516788	0
586	TCGA-BH-A0BT-11A	0.52866757	-0.22246277	-0.6678153	0.46159914	-0.9509416	0.83354485	3.279482	-1.5437286	-3.6849365	-0.517152	2.900026	-1.4144213	1.0189036	0.5824066	-0.79504174	-1.3080772	-1.8883884	-0.7926483	0.20138448	1.6105366	0.71581954	7.4013824	-0.60582703	-2.290646	-2.2865002	-0.19628996	-1.6525359	2.5653024	-1.8837411	1.4528116	-1.6396953	-1.656944	0.94182056	0.9464438	2.019172	-1.8466271	-1.5975481	0.17800611	-2.5512898	-0.3161211	2.2537522	1.6742351	0.007620745	-1.1964921	4.5042014	-1.4429393	1.448712	-1.3664607	-0.2826859	1.594789	0
587	TCGA-BH-A0BV-01A	-0.31229427	-1.123223	-1.242749	-0.5085968	0.7503984	-0.35111395	1.7771144	-0.058241203	-0.34728718	-0.105304495	-0.6283167	-0.43609482	0.4913666	1.8795847	0.6101268	-1.6320331	-1.0053358	1.2968787	-1.4509935	-0.62669384	0.37866724	1.2613279	0.33209735	1.9461733	-1.201177	0.99148786	-1.3245041	0.4959877	0.8357533	1.2448486	0.90039194	-0.6224025	-0.88225365	-0.06297265	0.5880132	0.53012276	0.99885964	-0.92184174	0.48216212	-0.2616349	-0.6053678	-0.9717587	1.250106	0.28348982	-1.4807785	-0.8771293	-2.7618506	0.26181528	1.959152	0.6746937	0
589	TCGA-BH-A0BW-01A	1.0293858	-1.913394	-0.65525216	1.1458288	-0.033938367	-0.5462191	1.2819602	1.6689807	-1.2909957	-0.22932726	0.13350372	-0.14958167	0.2774216	-0.8182428	1.730833	1.1917366	-1.546218	-0.2023301	-0.9585981	-0.409912	0.87648165	-1.2603832	-1.4440657	-1.856928	0.5239236	0.26093745	1.5702864	-0.025199085	0.36712882	2.9357271	0.8708668	-0.87304926	-0.43052375	0.07218832	-3.3687282	0.3164584	6.3168535	-0.45221257	-1.0772592	-4.1362762	-1.6035717	-0.02307725	-2.5674918	0.1010937	-0.46683496	-1.5802493	1.3316838	1.6786169	1.3883563	-0.9359826	0
590	TCGA-BH-A0BW-11A	0.35144615	-0.35320038	-0.19139144	-0.8639688	-2.5124257	-1.2098894	1.6128318	-1.13011	-1.9395139	0.026995841	-1.9883922	0.3427729	-0.24388531	-0.8504236	-0.35765478	-0.5104691	-1.3049909	-0.52388513	0.25628674	1.7226903	1.8590016	2.1614382	-0.14376177	-2.886309	-0.51135147	-0.13381419	-0.9865576	0.2450431	-1.0550027	2.3936868	0.34486413	0.39327043	0.5643834	1.4739473	-0.3450152	-0.95304656	2.9480064	0.06377983	-2.8044367	-4.183813	0.11347473	0.50939304	-1.5511819	-0.380607	3.248029	-0.90262884	1.0585661	-1.0278125	0.066892415	0.6604688	0
591	TCGA-BH-A0BZ-01A	-1.0740159	-1.2996655	1.4312689	-0.40008992	0.75116587	-0.4298637	1.051954	0.51944673	-1.0206457	-2.0651934	0.07890735	-0.028396696	0.096287996	1.3256803	0.5595766	0.39823678	-1.1957709	-0.04682922	-0.538784	1.5698805	-0.24636191	-2.6656818	-0.34711277	0.74679446	0.52456546	-0.0998207	-0.051232107	0.6326435	0.15157044	0.09508744	0.29004252	0.017325416	1.0426841	-0.32462463	0.08197123	0.77086174	2.463476	-1.7404721	1.5130523	-1.0748341	0.62399495	-0.6646273	1.3103486	0.096964985	0.49044073	0.69788265	-3.7468038	-1.9034772	-0.8880435	0.22004971	0
592	TCGA-BH-A0BZ-11A	2.2436018	-2.0861197	-0.012400433	-1.0074984	-2.1375382	1.6740371	5.4945974	-1.2500738	-3.0797784	-1.1990081	2.2507548	-0.5079273	-3.2025206	-0.25288212	-0.9993395	1.2476277	-2.3893602	-0.87808454	-1.2183515	0.42703652	-0.46978235	4.7302885	-1.5320531	-2.267015	-2.4797573	-0.75716126	-2.8415017	-0.87896043	-0.11411228	1.2269132	0.62959003	-0.31841043	-0.68292224	4.3448114	-0.3660684	0.36138606	0.012180258	1.467982	-5.966528	-2.5081007	-0.6245441	0.64883745	0.33825448	-2.591878	4.3592696	-1.5324329	-1.1237109	-1.76599	0.1940227	1.8774128	0
595	TCGA-BH-A0C1-01B	0.4251455	-0.3094676	0.8629066	-0.8884859	1.5271977	-0.6212152	0.9889422	-1.857748	-0.5757745	-1.0202346	-0.33308837	-0.010280706	-0.34114242	1.662647	-0.10119127	0.032453645	-0.5343475	0.461397	-0.23449796	-0.52356815	-0.3408906	2.7725804	-0.2774356	-0.13708633	-0.9467804	-0.118725896	-0.38352653	1.5540683	-0.29188052	0.54349995	-0.40177533	1.5751147	0.04315956	0.06230026	-0.048215628	-0.43189833	-0.15109368	1.0140717	-1.4931638	-1.9525124	0.7505275	0.7542323	-0.36703724	-0.09662326	-1.65261	-0.3048949	-0.09344225	0.081705086	0.6966332	2.107285	1
596	TCGA-BH-A0C3-01A	-0.38415742	0.12823933	-0.7845663	-0.75470746	-1.2686139	0.4942116	1.586677	-1.3381137	0.8577316	-0.2342085	-1.9170252	-1.3254719	0.79389346	-0.23306732	0.48564887	0.052860916	-1.0773042	-0.8205625	-1.1343691	0.0852904	0.10252465	0.8637948	-1.2224587	-1.2318476	0.150476	0.290808	0.18156049	0.44517165	0.55342394	1.2041159	0.360667	1.3126614	-0.022214934	0.24119045	-0.5677096	1.0959052	1.7332629	-0.25166225	-2.2140646	-1.9371737	-0.64795595	-0.6456777	0.641742	0.43830886	-0.4756115	-0.13090679	-0.73412156	0.118506804	0.4193167	-0.58474946	1
597	TCGA-BH-A0C3-11A	0.8985672	0.052237898	0.3122084	-0.13611642	-2.8981593	0.15968677	3.0761743	-1.3339884	-2.9838274	-1.8354206	0.76687914	-0.43608698	-0.77922165	-1.2934332	-0.50391996	-2.4371157	-3.005441	-0.91227615	0.7191938	1.7166666	1.554281	5.158537	-0.12694469	-2.931358	-2.218402	0.24251175	-0.1775927	0.2868817	-1.115371	0.46795693	-0.654374	0.00735873	0.8104852	0.17052037	0.8220064	-1.8501347	0.54777545	1.0737861	-3.6332128	-1.5058187	0.47742304	1.785999	0.04589563	-0.7802011	6.355397	-1.1551563	1.3960363	-1.1021241	0.37992233	1.4302205	1
598	TCGA-BH-A0C7-01B	-0.95314133	0.37915888	0.20700519	0.46094546	1.0809245	-0.16956258	1.6207618	0.04086687	-0.28348076	0.36377028	-2.8457038	-0.7388081	0.9632204	0.58829457	0.39436	-1.5852396	0.15293512	-0.08702262	1.406881	-0.076990575	1.4739428	-1.0223194	0.87901634	1.146518	-0.3815429	0.23336594	-0.27875358	-0.1939726	-0.81650865	0.1038093	0.91098446	0.6093616	0.6241783	1.2543032	-0.3628068	-0.275832	2.5795517	-0.03578189	-0.9698899	0.29424483	-0.59789795	-0.036445647	-1.6811296	-0.8672535	-0.24413747	0.12967329	-0.5101393	1.1344866	-0.10398368	0.3387455	0
